Année;Séances (milliers);Entrées (millions);Recette guichet (M€ courants);Recette moyenne par entrée (€)
1980;4141.6;175.4;430.7;2.46
1983;4037.1;198.9;671.3;3.38
1993;3717.5;132.7;688.9;5.19
1994;3778.6;124.4;653.5;5.25
1995;3909.5;130.2;690.1;5.3
2006;6239.7;188.8;1120.6;5.94
2003;5773.5;173.5;996.1;5.74
2014;7581.5;209.1;1333.3;6.38
1999;4999.0;153.6;824.0;5.36
1991;3709.8;117.5;591.7;5.04
1998;4627.6;170.6;917.0;5.38
2016;8015.9;213.2;1388.6;6.51
2008;6581.7;190.3;1142.9;6.01
1988;3995.7;124.7;553.7;4.44
1996;4211.2;136.7;726.0;5.31
1985;4418.7;175.1;665.9;3.8
1987;4333.4;136.9;577.5;4.22
2004;6054.4;195.8;1139.8;5.82
2002;5624.2;184.4;1030.0;5.59
2017;8161.2;209.4;1380.6;6.59
2015;7780.8;205.4;1331.7;6.48
1982;3872.8;201.9;630.7;3.12
1992;3599.0;116.0;600.8;5.18
2005;6087.8;175.6;1031.8;5.87
2009;6708.6;201.6;1237.2;6.14
2007;6295.9;178.5;1061.9;5.95
1981;3715.1;189.2;529.3;2.8
1984;4320.8;190.9;682.6;3.58
1986;4461.2;168.1;675.7;4.02
1990;3795.3;121.9;583.3;4.78
1989;3887.0;120.9;560.8;4.64
1997;4493.4;149.3;790.2;5.29
2011;7044.5;217.2;1374.7;6.33
2012;7151.6;203.6;1306.5;6.42
2001;5533.7;187.5;1021.0;5.45
2010;6844.8;207.1;1309.9;6.33
2000;5250.2;165.8;894.0;5.39
2013;7268.7;193.7;1250.9;6.46
